,Predicciones,host_response_rate,price,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7,21.935683713896687,100.0,1089.0,100.0,19.41083,-99.18057,2.0,1.0,1.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,18,48,78,168,62.0,6.0,0.0,4.92,4.89,4.9,4.92,4.95,4.94,4.87,2.0,0.0,2.0,0.0,0.94
16,19.71442730534793,100.0,726.0,92.1,19.40891,-99.16083,2.0,1.0,1.0,1.0,14.0,1.0,1.0,14.0,14.0,1.0,14.0,,28,58,88,363,5.0,0.0,0.0,4.75,4.6,4.2,5.0,4.6,4.8,4.6,1.0,0.0,1.0,0.0,0.04
17,19.71442730534793,95.4,375.0,92.1,19.34022,-99.15306,1.0,1.0,1.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,0,0,9,284,5.0,0.0,0.0,4.4,5.0,4.6,5.0,4.8,4.4,4.4,1.0,0.0,1.0,0.0,0.04
18,19.71442730534793,95.4,2835.0,92.1,19.44178,-99.20202,2.0,1.0,2.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,365,0.0,0.0,0.0,4.4,5.0,4.6,5.0,4.8,4.4,4.4,1.0,0.0,1.0,0.0,0.04
21,19.71442730534793,100.0,1244.0,92.1,19.35416,-99.16488,2.0,1.0,1.0,1.0,730.0,1.0,1.0,730.0,730.0,1.0,730.0,,28,58,88,88,0.0,0.0,0.0,4.4,5.0,4.6,5.0,4.8,4.4,4.4,3.0,1.0,2.0,0.0,0.04
24,21.935683713896687,100.0,549.0,100.0,19.33009,-99.21418,1.0,1.0,1.0,1.0,90.0,1.0,1.0,90.0,90.0,1.0,90.0,,11,31,61,336,4.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,3.0,0.0,0.04
28,3.0971799958249573,50.0,1543.0,33.0,19.4191,-99.15904,2.0,1.0,1.0,2.0,7.0,2.0,2.0,7.0,7.0,2.0,7.0,,0,0,20,295,158.0,1.0,0.0,4.97,4.94,4.97,4.98,4.96,4.96,4.95,1.0,0.0,1.0,0.0,1.41
29,15.468734676349676,100.0,302.0,77.0,19.39675,-99.17581,2.0,1.0,1.0,4.0,1125.0,4.0,4.0,1125.0,1125.0,4.0,1125.0,,19,49,79,354,90.0,14.0,3.0,4.82,4.86,4.59,4.98,4.94,4.98,4.78,2.0,0.0,2.0,0.0,0.82
30,21.935683713896687,100.0,500.0,100.0,19.35379,-99.2,4.0,2.0,4.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,,0,23,53,328,27.0,0.0,0.0,4.96,4.93,4.93,4.93,4.93,4.7,4.85,2.0,0.0,2.0,0.0,0.25
43,10.126472427941277,92.0,402.0,58.0,19.44262,-99.14566,2.0,1.0,1.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,22,37,64,307,127.0,2.0,0.0,4.73,4.72,4.67,4.9,4.92,4.46,4.8,6.0,3.0,3.0,0.0,1.02
45,3.0971799958249573,92.0,480.0,33.0,19.38336,-99.18197,2.0,1.0,1.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,29,59,89,269,9.0,1.0,0.0,4.78,5.0,5.0,5.0,5.0,4.89,4.78,1.0,0.0,1.0,0.0,0.07
57,21.935683713896687,100.0,591.0,100.0,19.41472,-99.15602,2.0,1.0,2.0,5.0,1825.0,5.0,5.0,1825.0,1825.0,5.0,1825.0,,30,60,90,365,20.0,2.0,0.0,4.16,4.21,4.32,4.61,4.32,4.68,4.21,4.0,2.0,2.0,0.0,0.15
